MefareshDesc,AuthorName
כתונת יוסף,"מר' יוסף יצחק מונטיקייו (נלב""ע תק""כ בערך)"
עיני אברהם,"מר' אברהם ב""ר יאודה ציפיג (נלב""ע תקס""ה)"
חסד לאברהם,"מר' אברהם תאומים (תקע""ד-תרכ""ח)"
באר חיים,חיים משולם וידר (בחיים)
תמר שלמה,"שלמה ב""ר דוד אלימלך מילר (בחיים)"
טהרת ישראל,"מר' ישראל פייגענבוים (תר""פ-תשנ""ו)"
דברי לוי,"מר' ברוך יצחק ב""ר דוב זאב הלוי לוין (תר""ע בערך-תשמ""ט)"
אמרי יוסף,"מר' יוזפא צבי ב""ר ראובן דוידובסקי (תרמ""ט-תרצ""ד)"
הלכה למשה,"חיים משה אמארילייו (תנ""ח-תק""ח)"
פרי חיים,"ר' חיים העליר (תרל""ט-תש""כ)"
תירוש ויצהר,מר' צבי יחזקאל מיכלזאהן (נספה בשואה)
יד מלך,"מר' דוד יצחק ב""ר מרדכי לייב מן (בחיים)"
יקר תפארת,"הרדב""ז"
צור תעודה,"מר' מנצור מרזוק (נלב""ע תקמ""ט)"
קונטרס ממוספי הפרדס,"ר' חיים העליר (תרל""ט-תש""כ)"
סדר משנה 1,"ר' חיים יונה תאומים (בסביבות ת""ן)"
עדת יעקב,"מר' יעקב ב""ר שרגא פיאטרקאווסקי"
דברי שאול עדות ביוסף,"מר' יוסף שאול נאטאנזאהן אב""ד לבוב (תקס""ח-תרל""ה)"
באר מרים,"רבי דוד יצחק ב""ר מרדכי לייב מן (בחיים)"
הגהות כבוד מלכים,"ר' זאב וואלף לייטער (תרנ""ב-תשל""ד)"
תורת המלך,מר' גרשון אריאלי (בחיים)
חמדת ישראל,"מאיר דן ברח""י פלאצקי אב""ד דוואהרט (תרכ""ו-תרפ""ח)"
